year,month,Block,TotalPoundsLanded,TotalValue,Season
1998,11,684,1629.7,9537.06,1
1998,11,685,1587.55,9592.325,1
1998,11,686,711,4108.175,1
1998,11,687,1163,7159.275,1
1998,11,688,2281.8,14289.4,1
1998,11,689,585.9,3786.25,1
1998,11,702,101,505,1
1998,11,704,542.4,3581.45,1
1998,11,705,476,2380,1
1998,11,707,1778.5,11126.625,1
1998,11,708,7293.61,44574.555,1
1998,11,709,903.4,5492.725,1
1998,11,710,2682.4,16484.32,1
1998,11,711,2654.6,16342.75,1
1998,11,718,305,1830,1
1998,11,719,5808.3,33784.575,1
1998,11,720,5045.08,30875.555,1
1998,11,733,61.45,307.25,1
1998,11,737,2184.9,13298.565,1
1998,11,738,1768.6,11010.4,1
1998,11,739,840.65,5198.525,1
1998,11,740,1687.9,10346.8,1
1998,11,742,60.1,345.575,1
1998,11,746,148.6,1040.2,1
1998,11,756,2115.4,12620.225,1
1998,11,757,8484.44,52168.015,1
1998,11,761,263,1972.5,1
1998,11,762,1241.1,7779.9,1
1998,11,765,3216,18192.225,1
1998,11,768,194,1261,1
1998,11,770,66,396,1
1998,11,800,249.1,1307.775,1
1998,11,801,1028.3,5951.2,1
1998,11,802,152,798,1
1998,11,807,580,4228,1
1998,11,810,138.7,836.4,1
1998,11,813,5601.3,30972.75,1
1998,11,814,1812,11162.54,1
1998,11,821,1302.9,6504.325,1
1998,11,822,109,654,1
1998,11,829,323.8,1780.9,1
1998,11,842,510.2,3033.5625,1
1998,11,843,123,676.5,1
1998,11,849,1811,10866,1
1998,11,850,2920.25,17207.355,1
1998,11,860,27885.07,148538.132,1
1998,11,862,69,362.25,1
1998,11,863,196,1372,1
1998,11,867,1533,8355.5,1
1998,11,878,475,2567.25,1
1998,11,880,230.9,1217.95,1
1998,11,890,922,5762.5,1
1998,12,606,51.8,336.7,1
1998,12,607,177.5,1109.375,1
1998,12,643,87.6,569.4,1
1998,12,652,818.95,5328.425,1
1998,12,653,729.3,4845.275,1
1998,12,654,1300.05,9132.3,1
1998,12,655,1801.3,11699.025,1
1998,12,656,276,1771.55,1
1998,12,657,486.3,3160.95,1
1998,12,658,813.6,5257.25,1
1998,12,664,59.1,369.375,1
1998,12,665,1889,12499.6,1
1998,12,666,43,279.5,1
1998,12,680,1851.5,11972.975,1
1998,12,682,64.3,385.8,1
1998,12,683,1096,7626,1
1998,12,684,880.3,5480.5,1
1998,12,685,666.9,4466.2,1
1998,12,686,24.1,156.65,1
1998,12,687,1435.95,9466.4,1
1998,12,688,2084.7,13995.375,1
1998,12,689,883.2,5859.45,1
1998,12,701,263,1643.75,1
1998,12,702,101.05,508.3,1
1998,12,704,393,2847.5,1
1998,12,707,818,5350.5,1
1998,12,708,4748.9,30680.9125,1
1998,12,709,333.1,2163.15,1
1998,12,710,1667.1,10971.475,1
1998,12,711,2213.6,14858,1
1998,12,718,349,2209.25,1
1998,12,719,4268.5,26889.65,1
1998,12,720,3779.41,23158.8625,1
1998,12,722,12,72,1
1998,12,737,890.93,6267.4575,1
1998,12,738,942.35,6105.4,1
1998,12,739,421.75,2579.5,1
1998,12,740,345.44,2491.8,1
1998,12,756,1077.91,7422.63,1
1998,12,757,3660.77,23494.925,1
1998,12,762,1424.8,9176.15,1
1998,12,765,2402.2,14462.2,1
1998,12,770,329.5,1990.375,1
1998,12,800,88.3,519,1
1998,12,801,463.6,2759.55,1
1998,12,807,597,4508,1
1998,12,813,4171,28060.2,1
1998,12,814,2042,13654.11,1
1998,12,821,535.15,3181.1625,1
1998,12,822,35,218.75,1
1998,12,828,83,456.5,1
1998,12,829,111,721.5,1
1998,12,849,2201.1,14307.15,1
1998,12,850,565.85,3593.05,1
1998,12,860,14628.96,85694.965,1
1998,12,862,24.6,153.75,1
1998,12,863,110.8,776.25,1
1998,12,867,719.1,4097.825,1
1998,12,878,809.3,4599.43,1
1998,12,881,77.7,478.25,1
1999,1,605,90,616.5,1
1999,1,607,153.5,1228,1
1999,1,630,79,612.25,1
1999,1,643,448.2,3438.35,1
1999,1,652,935.8,7308.5,1
1999,1,653,518,3974,1
1999,1,654,568.3,4288.85,1
1999,1,655,467.3,3353.75,1
1999,1,656,427.5,3263.2,1
1999,1,657,740.1,5867.75,1
1999,1,658,1746.3,12905.425,1
1999,1,659,66,0,1
1999,1,665,1221,9304.525,1
1999,1,666,60,450,1
1999,1,680,1638.89,12044.175,1
1999,1,682,15.5,112.375,1
1999,1,683,1066.3,7753.95,1
1999,1,684,474.3,3323.625,1
1999,1,685,529.4,3991.6,1
1999,1,686,33.5,268,1
1999,1,687,689.9,5421.05,1
1999,1,688,4268.8,33712.25,1
1999,1,689,2435.7,18720.725,1
1999,1,700,26,169,1
1999,1,702,834.2,5236.025,1
1999,1,704,145.3,1110.4,1
1999,1,705,319.6,2507.925,1
1999,1,707,514.9,3772.2,1
1999,1,708,4135.58,31789.925,1
1999,1,709,551.3,4361.6,1
1999,1,710,2338.7,18751.25,1
1999,1,711,2484.5,19406.5,1
1999,1,712,201,1708.5,1
1999,1,713,59,295,1
1999,1,714,35.5,239.625,1
1999,1,717,30.2,203.85,1
1999,1,718,19.32,144.9,1
1999,1,719,3657.04,24962.1,1
1999,1,720,3392.61,22983.115,1
1999,1,737,763.6,5345.2,1
1999,1,738,395.8,2770.75,1
1999,1,739,365,2273.175,1
1999,1,740,1956.59,13209.15,1
1999,1,750,236.6,1774.5,1
1999,1,756,250.8,1840.85,1
1999,1,757,3704.44,21840.575,1
1999,1,759,13.5,33.75,1
1999,1,761,67,502.5,1
1999,1,762,880.2,6051.725,1
1999,1,765,1716.6,10754.15,1
1999,1,767,29,203,1
1999,1,768,76.6,561.875,1
1999,1,770,84,547.5,1
1999,1,801,313.1,1944.425,1
1999,1,807,145,1087.5,1
1999,1,813,4137.5,32722,1
1999,1,814,3471.2,24952.06,1
1999,1,821,926.3,6196.2,1
1999,1,829,58.9,410.85,1
1999,1,840,880,6380,1
1999,1,842,18.8,117.5,1
1999,1,849,45,270,1
1999,1,850,923.7,5922.625,1
1999,1,860,8329.4,51147.7,1
1999,1,866,56.6,353.75,1
1999,1,867,487,2933.25,1
1999,1,878,658,3960,1
1999,1,880,118.6,737.25,1
1999,1,881,63,378,1
1999,1,890,364.4,2915.2,1
1999,2,643,77.5,620,1
1999,2,652,675.1,5386.5,1
1999,2,653,445.3,3634.9,1
1999,2,654,348.9,2799.2,1
1999,2,655,464.8,3718.4,1
1999,2,656,749.1,5992.8,1
1999,2,657,458.3,3666.4,1
1999,2,658,529.6,4236.8,1
1999,2,665,626.5,5059.75,1
1999,2,666,48.5,379.5,1
1999,2,680,949.1,7273.075,1
1999,2,683,628.6,4916.075,1
1999,2,684,449.7,3436.685,1
1999,2,685,592,4736,1
1999,2,687,553.8,4478.9,1
1999,2,688,3304.4,26620.625,1
1999,2,689,1329.6,10621.05,1
1999,2,702,160,1019,1
1999,2,704,161.8,1253.95,1
1999,2,705,318.7,2151.6,1
1999,2,707,583.9,4589.825,1
1999,2,708,1339.45,10634.625,1
1999,2,709,741.25,6046.5625,1
1999,2,710,2459.5,19887.225,1
1999,2,711,1783.1,14377,1
1999,2,712,161.2,1184.82,1
1999,2,714,68,408,1
1999,2,718,107.33,858.64,1
1999,2,719,2252.44,15211.685,1
1999,2,720,2517.9,17751.85,1
1999,2,737,453.04,3059.575,1
1999,2,738,458.9,3320.85,1
1999,2,740,2787.65,19495.8,1
1999,2,741,55,330,1
1999,2,746,817.6,6132,1
1999,2,751,42.8,299.6,1
1999,2,756,521.55,4069.625,1
1999,2,757,2273.55,15533.185,1
1999,2,760,37,259,1
1999,2,762,549.96,3762.98,1
1999,2,765,448,2688,1
1999,2,800,32,184,1
1999,2,801,288.8,1968.1,1
1999,2,807,438,3298.625,1
1999,2,813,1941.6,16003.65,1
1999,2,814,3902.9,28214.7,1
1999,2,821,88.3,525.35,1
1999,2,835,95.9,767.2,1
1999,2,842,256.5,1975.125,1
1999,2,849,57.2,400.4,1
1999,2,850,1673.7,12666.75,1
1999,2,860,3955.56,26372.695,1
1999,2,867,193,1158,1
1999,2,868,277.2,1891.4,1
1999,2,878,309.2,1871.4,1
1999,2,880,101,681.75,1
1999,2,890,602.3,4219.5,1
1999,3,643,87.1,696.8,1
1999,3,652,542.6,4076.8,1
1999,3,653,234.1,1904.8,1
1999,3,654,526.9,4109.2,1
1999,3,655,583.1,4704.825,1
1999,3,656,459.7,3677.6,1
1999,3,657,334.7,2629.6,1
1999,3,665,142.2,1165.1,1
1999,3,680,508.7,3932.775,1
1999,3,681,39,292.5,1
1999,3,683,503.5,3910.25,1
1999,3,684,625.1,4934.55,1
1999,3,685,430.7,3477.4,1
1999,3,686,2.9,23.2,1
1999,3,687,586,4729.15,1
1999,3,688,4034.8,32628.7,1
1999,3,689,855.9,6242.7,1
1999,3,705,61.2,366.6,1
1999,3,707,282,1544,1
1999,3,708,876.7,6436.1,1
1999,3,710,759.2,6425.2,1
1999,3,711,1477.1,11899,1
1999,3,719,1629.47,12068.4,1
1999,3,720,1738.1,12512.5,1
1999,3,737,282.73,2044.75,1
1999,3,738,330.05,2513.575,1
1999,3,739,63,531,1
1999,3,740,1975.3,14902.9,1
1999,3,741,40,240,1
1999,3,750,33.25,266,1
1999,3,756,190.6,1500.475,1
1999,3,757,459.75,2822.25,1
1999,3,762,127.8,885.15,1
1999,3,764,25,150,1
1999,3,765,233.83,1552.3575,1
1999,3,801,85,595,1
1999,3,807,75,562.5,1
1999,3,809,32.4,226.8,1
1999,3,813,181.1,1442.4,1
1999,3,814,1789.3,12992.3,1
1999,3,820,16.5,107.25,1
1999,3,821,25,181.25,1
1999,3,842,41.75,357.25,1
1999,3,850,1110.2,8324.05,1
1999,3,860,1675.44,9081.945,1
1999,3,878,52,312,1
1999,3,880,68.8,481.6,1
1999,3,890,587.9,4115.3,1
1999,3,897,21,136.5,1
1999,10,604,162.5,1137.5,2
1999,10,606,30.9,200.85,2
1999,10,628,181.1,1267.7,2
1999,10,651,57.2,400.4,2
1999,10,652,1671.7,11834.95,2
1999,10,653,2696.4,18939,2
1999,10,654,2874.8,20511.9,2
1999,10,655,1271.2,9360.175,2
1999,10,656,1020.6,7192.55,2
1999,10,657,107.1,749.7,2
1999,10,658,83.3,624.75,2
1999,10,664,591,4432.5,2
1999,10,665,981.7,7271.275,2
1999,10,666,129.8,973.5,2
1999,10,674,113.3,838.42,2
1999,10,680,671,4837.35,2
1999,10,683,99,742.5,2
1999,10,684,4055.28,27901.725,2
1999,10,685,701.8,4903.66,2
1999,10,686,197,1457.1,2
1999,10,687,558,4185,2
1999,10,688,7631.05,55469.9375,2
1999,10,692,15.9,111.3,2
1999,10,694,77.8,544.6,2
1999,10,700,104.6,732.2,2
1999,10,704,987.9,7378.15,2
1999,10,707,67.5,472.5,2
1999,10,708,6501.55,47367.525,2
1999,10,709,1381,10290.85,2
1999,10,710,2409.5,17793.85,2
1999,10,711,1374.6,9866.12,2
1999,10,712,110.2,771.4,2
1999,10,719,2270.32,16203.32,2
1999,10,720,2778.04,18659.09,2
1999,10,726,88,638,2
1999,10,730,32.7,261.6,2
1999,10,732,54.2,392.95,2
1999,10,737,5666.87,40073.558,2
1999,10,738,4340.55,31287.6375,2
1999,10,739,119,842.57,2
1999,10,740,2400.9,17762.75,2
1999,10,747,142,994,2
1999,10,748,223,1672.5,2
1999,10,750,1337,10027.5,2
1999,10,751,5,0,2
1999,10,754,449.65,3345.7,2
1999,10,756,4256.41,31056.405,2
1999,10,757,15180.85,93613.641,2
1999,10,758,87.5,218.75,2
1999,10,761,564,4230,2
1999,10,762,4413.06,30356.47,2
1999,10,765,2446.3,17211.95,2
1999,10,767,531.5,3952.5,2
1999,10,770,6,42,2
1999,10,800,95,617.5,2
1999,10,801,1724.3,12591.8,2
1999,10,807,2105.55,15813.625,2
1999,10,810,39,282.75,2
1999,10,813,8481.5,60116.1,2
1999,10,814,578.8,4066.85,2
1999,10,821,8721.34,55660.847,2
1999,10,823,95,552.5,2
1999,10,827,501,3507,2
1999,10,829,5733.3,37691.5,2
1999,10,830,120,900,2
1999,10,831,95.2,666.4,2
1999,10,842,5767.97,39544.5675,2
1999,10,843,100,700,2
1999,10,847,1417,9919,2
1999,10,850,7148.5,46613.6,2
1999,10,858,11,110,2
1999,10,860,36431.99,241438.44,2
1999,10,861,281,1889.5,2
1999,10,867,1239.4,8675.8,2
1999,10,869,1902,13318.46,2
1999,10,878,231.4,1527.65,2
1999,10,880,67.2,470.4,2
1999,10,890,112,0,2
1999,10,892,130,952.75,2
1999,11,628,22.7,170.25,2
1999,11,651,61.7,458.05,2
1999,11,652,953.3,7271.875,2
1999,11,653,2486.37,18717.1,2
1999,11,654,2053.81,15570.73,2
1999,11,655,1263.5,9714.39,2
1999,11,656,1548.75,11799.7,2
1999,11,657,107.1,812.775,2
1999,11,665,1647.7,13028.3,2
1999,11,680,611.5,4592.075,2
1999,11,682,180.4,1447.592,2
1999,11,683,18,144,2
1999,11,684,2383.4,17682.35,2
1999,11,685,1448.3,10339.775,2
1999,11,686,607,4713.4,2
1999,11,688,3739.1,29304.83,2
1999,11,689,241.7,1933.6,2
1999,11,691,26,208,2
1999,11,704,951.6,7588.195,2
1999,11,707,757.7,6010.35,2
1999,11,708,5703.71,43419.2025,2
1999,11,709,704,5685,2
1999,11,710,2328.7,18698.77,2
1999,11,711,2708.7,20884.6,2
1999,11,718,1399.1,11180.3,2
1999,11,719,3822.57,28318.11,2
1999,11,720,1641.93,12326.225,2
1999,11,737,1227.8,9363.35,2
1999,11,738,1504.65,10209.7875,2
1999,11,739,442,3314,2
1999,11,740,278.5,2193.75,2
1999,11,754,49,392,2
1999,11,756,2083.1,16153.075,2
1999,11,757,5849,38024.661,2
1999,11,758,23.5,146.875,2
1999,11,761,982.3,7448.375,2
1999,11,762,2249.6,16221.65,2
1999,11,764,77.7,543.9,2
1999,11,765,1595.16,11502.58,2
1999,11,767,426.8,2970,2
1999,11,801,953.6,7206.8,2
1999,11,802,90.9,727.2,2
1999,11,806,209.5,1601.25,2
1999,11,807,1254.2,9540,2
1999,11,813,2797.1,22001.8,2
1999,11,814,619.3,4715.275,2
1999,11,821,2103.9,15275.6,2
1999,11,826,48,360,2
1999,11,829,3419.4,26663.21,2
1999,11,831,149.4,1195.2,2
1999,11,842,3283.8,23717.35,2
1999,11,850,4042.5,29643.465,2
1999,11,853,112,896,2
1999,11,856,521,3386.5,2
1999,11,860,18054,134801.835,2
1999,11,861,76.4,559,2
1999,11,866,107,802.5,2
1999,11,869,346.4,2603.7,2
1999,11,879,161.6,1292.8,2
1999,11,890,714.2,5440.35,2
1999,12,643,147,0,2
1999,12,651,20.2,161.6,2
1999,12,652,661.3,5009.7,2
1999,12,653,1233.7,9161.25,2
1999,12,654,460.1,3762.7,2
1999,12,655,645.9,4411.375,2
1999,12,656,1159.2,9239.05,2
1999,12,657,17.8,144.4,2
1999,12,658,24.8,198.4,2
1999,12,660,58,449.5,2
1999,12,665,1915.8,15859.65,2
1999,12,680,777.2,5996.5,2
1999,12,682,37,333,2
1999,12,683,448.1,3665.325,2
1999,12,684,2453.1,19846.745,2
1999,12,685,424.1,3488.5,2
1999,12,686,258.4,2250.32,2
1999,12,688,2960.8,24570.155,2
1999,12,696,41.3,330.4,2
1999,12,704,485.4,4185.9,2
1999,12,705,185,1387.5,2
1999,12,707,51,433.5,2
1999,12,708,2661.63,21830.615,2
1999,12,709,1302.7,10878.075,2
1999,12,710,2516.7,20828.475,2
1999,12,711,2190.3,17038.625,2
1999,12,712,312.4,2455.7,2
1999,12,713,10,75,2
1999,12,719,2335.87,18061.1775,2
1999,12,720,2258,17877,2
1999,12,730,115.1,978.35,2
1999,12,737,1556.9,11335.725,2
1999,12,738,1678,13206.375,2
1999,12,739,554.75,4488.55,2
1999,12,740,155.5,1134.85,2
1999,12,748,99,693,2
1999,12,752,193.2,1365,2
1999,12,756,2062.59,16726.3275,2
1999,12,757,5128.9,31065.555,2
1999,12,761,306.9,2378.475,2
1999,12,762,1356.1,10585.625,2
1999,12,765,995.6,7641.3,2
1999,12,801,783,5863,2
1999,12,806,502,3797,2
1999,12,807,1202,9061.4,2
1999,12,809,588.4,4560.1,2
1999,12,813,2418,17597.5,2
1999,12,814,2810.7,23068.23,2
1999,12,821,799.9,5428.075,2
1999,12,827,245,2021.25,2
1999,12,829,2220.5,17166.475,2
1999,12,842,2740.5,20035.5,2
1999,12,849,99,693,2
1999,12,850,2875.1,22781.325,2
1999,12,852,98,784,2
1999,12,860,11257.71,86056.735,2
1999,12,861,47.4,367.35,2
1999,12,867,135,1046.25,2
1999,12,869,36,297,2
1999,12,872,152,1064,2
1999,12,877,151.5,1174.125,2
1999,12,878,413,2812,2
1999,12,880,365.5,2986,2
1999,12,890,405.2,3164.85,2
2000,1,608,289,2312,2
2000,1,638,135.5,1181.875,2
2000,1,652,605.3,5023.1,2
2000,1,653,463.4,3916.7,2
2000,1,654,100.5,1206,2
2000,1,655,509.2,4226.695,2
2000,1,656,994.8,8240.25,2
2000,1,657,441.8,3682.85,2
2000,1,665,2282.19,18651.515,2
2000,1,680,881.09,6778.89,2
2000,1,683,246.1,2091.85,2
2000,1,684,1178.3,9625.4,2
2000,1,685,286.9,2335.35,2
2000,1,686,172.5,1529.35,2
2000,1,687,433.8,3878.3,2
2000,1,688,2497.3,20872.9,2
2000,1,690,1831.7,16033,2
2000,1,704,462.3,3829.4,2
2000,1,707,501.8,4169.825,2
2000,1,708,1272.05,9799.375,2
2000,1,709,238,2115.2,2
2000,1,710,4818,40504.525,2
2000,1,711,2429.6,20172.4,2
2000,1,712,186.1,1558.85,2
2000,1,714,75,637.5,2
2000,1,715,157,1295.25,2
2000,1,719,2970.36,23219.2416,2
2000,1,720,1314.5,10575,2
2000,1,732,50.5,404,2
2000,1,737,845.2,6866.65,2
2000,1,738,753.6,6187.575,2
2000,1,739,292.5,2270.5,2
2000,1,740,356.45,2533.7,2
2000,1,741,24,180,2
2000,1,752,108.4,386.25,2
2000,1,756,1543.8,12703,2
2000,1,757,6226.17,41073.45,2
2000,1,759,97.8,831.3,2
2000,1,761,235,1711.25,2
2000,1,762,325,2399.25,2
2000,1,765,602,4963,2
2000,1,767,23.5,0,2
2000,1,776,55,385,2
2000,1,801,1599.8,12179.8,2
2000,1,806,177,1344.5,2
2000,1,807,399,3030,2
2000,1,813,2563.2,21057.65,2
2000,1,814,4737.4,39333.79,2
2000,1,821,859.7,6862.55,2
2000,1,822,262.3,2229.55,2
2000,1,829,1386.7,10971.525,2
2000,1,842,2023.4,11872.425,2
2000,1,850,3387.9,28234.6,2
2000,1,860,9321.6,72505.3465,2
2000,1,869,142.55,1127.3625,2
2000,1,872,325,2275,2
2000,1,873,7,59.5,2
2000,1,877,84,735,2
2000,1,878,490.35,3457.95,2
2000,1,881,29.5,243.375,2
2000,1,888,2.5,27.5,2
2000,1,890,157,1334.5,2
2000,2,606,56,448,2
2000,2,652,601.4,4836,2
2000,2,653,679.45,5441.6,2
2000,2,654,392.55,3136.4,2
2000,2,655,317.4,2539.2,2
2000,2,656,1072.9,8583.2,2
2000,2,657,368.3,2946.4,2
2000,2,659,16.8,134.4,2
2000,2,665,533,4264,2
2000,2,670,526.1,4340.325,2
2000,2,680,2309.5,18200.25,2
2000,2,683,216,1778.25,2
2000,2,684,472.3,3819.7,2
2000,2,685,1045.3,8727,2
2000,2,687,1271.4,10580.15,2
2000,2,688,5824.3,46691.475,2
2000,2,689,2452.2,19617.6,2
2000,2,690,1344.6,11234.2,2
2000,2,704,132,1071,2
2000,2,708,897.17,6803.06,2
2000,2,709,433,3541.625,2
2000,2,710,1488.9,12365.75,2
2000,2,711,1010.4,8173.2,2
2000,2,712,591,4778,2
2000,2,713,84,630,2
2000,2,719,5482.66,42748.145,2
2000,2,720,2850.71,22866.325,2
2000,2,722,35,297.5,2
2000,2,729,31,232.5,2
2000,2,737,489.5,4082.975,2
2000,2,738,2662.7,21226.675,2
2000,2,739,603.8,4469.825,2
2000,2,740,1043,8211.1625,2
2000,2,754,186,1488,2
2000,2,756,3008.8,24740.8,2
2000,2,757,5761.6,40724.875,2
2000,2,758,96,768,2
2000,2,762,797.8,5962.8,2
2000,2,765,324.4,2657.4,2
2000,2,801,744.2,5493.6,2
2000,2,806,316.5,2690.25,2
2000,2,807,453,3452,2
2000,2,813,1368.36,10908.88,2
2000,2,814,2717.4,22651.1,2
2000,2,821,639.35,5114.8,2
2000,2,822,68,544,2
2000,2,829,902.8,6860.475,2
2000,2,842,690.05,4893.95,2
2000,2,850,4006.3,31977.38,2
2000,2,860,5546.55,44432.225,2
2000,2,866,62.5,500,2
2000,2,867,264,2217,2
2000,2,877,52,416,2
2000,2,878,586,4179,2
2000,2,880,49.9,399.2,2
2000,3,652,438.8,3459.7,2
2000,3,653,405.55,3259.9,2
2000,3,654,218.5,1552,2
2000,3,655,63.3,506.4,2
2000,3,656,354.6,2836.8,2
2000,3,657,423.8,3390.4,2
2000,3,665,43,365.5,2
2000,3,680,1578.6,12381.8,2
2000,3,682,306.4,2451.2,2
2000,3,683,276.4,2044,2
2000,3,684,337,2355,2
2000,3,685,69,552,2
2000,3,686,327.9,2623.2,2
2000,3,687,307.6,2460.8,2
2000,3,688,5291,40374.25,2
2000,3,690,1327.6,10896.3,2
2000,3,704,108.5,876.5,2
2000,3,707,717.7,5799.35,2
2000,3,708,940.68,7117.54,2
2000,3,709,395.6,2900.2,2
2000,3,710,479.2,4046.9,2
2000,3,711,737,5959.5,2
2000,3,712,184.5,1469,2
2000,3,719,1740.87,13584.7275,2
2000,3,720,685.05,5643.425,2
2000,3,729,32,240,2
2000,3,737,805.3,6398.75,2
2000,3,738,720.3,5938.3,2
2000,3,739,344.9,2594.3,2
2000,3,740,404.6,3193.025,2
2000,3,742,91.7,779.45,2
2000,3,756,584.7,4782.975,2
2000,3,757,1772,13001.225,2
2000,3,758,30,240,2
2000,3,759,86,688,2
2000,3,762,258,2002.31,2
2000,3,765,72,540,2
2000,3,767,45.4,340.5,2
2000,3,801,962,2746,2
2000,3,806,204.9,1641.7,2
2000,3,807,166.75,1334,2
2000,3,813,584.1,4383.75,2
2000,3,814,2391.3,19144.9,2
2000,3,821,700.7,5605.6,2
2000,3,842,966.2,7618.35,2
2000,3,850,1966.3,15561.335,2
2000,3,860,2102.44,15892.8925,2
2000,3,878,185,1295,2
2000,4,757,64,64,2
2000,6,840,215,236.5,2
2000,6,842,212,212,2
2000,8,821,107,117.7,2
2000,10,608,130,845,3
2000,10,652,3029.8,17931.775,3
2000,10,653,6963.4,41966.775,3
2000,10,654,2002,10700.375,3
2000,10,655,4270.7,25971.575,3
2000,10,656,538,3401.25,3
2000,10,664,220,1902.5,3
2000,10,665,4273.9,26192.175,3
2000,10,681,928.1,6864.8,3
2000,10,683,960.8,6048.05,3
2000,10,684,3871.5,21526.7,3
2000,10,686,313.5,1902.625,3
2000,10,687,109.57,642.5975,3
2000,10,688,4760.8,28973.55,3
2000,10,700,286,1716,3
2000,10,704,29.5,184.375,3
2000,10,705,281.4,1547.7,3
2000,10,707,2960.9,18203.25,3
2000,10,708,13788.37,82109.94,3
2000,10,709,954.3,5846.675,3
2000,10,710,12,78,3
2000,10,711,2695.6,16120.925,3
2000,10,712,1206,7031.2,3
2000,10,718,1641.1,9722.85,3
2000,10,719,7663.33,45666.09,3
2000,10,720,5497,38802.5,3
2000,10,726,119.4,955.2,3
2000,10,732,48.55,279.1625,3
2000,10,736,663.4,5334.864,3
2000,10,737,4482.8,26056.1875,3
2000,10,738,4675.2,30520.4125,3
2000,10,739,443.1,2603.1625,3
2000,10,740,560.4,4168.35,3
2000,10,752,464.6,3410.07,3
2000,10,756,3298.22,24606.09,3
2000,10,757,35151.17,204247.42,3
2000,10,758,948,6111,3
2000,10,761,2202,13360.65,3
2000,10,762,4225.7,28077.35,3
2000,10,765,5200.8,32494.2,3
2000,10,767,298.29,1756.0125,3
2000,10,768,288.3,1657.725,3
2000,10,800,142.9,821.675,3
2000,10,801,5323.5,32335.53,3
2000,10,804,421,2526,3
2000,10,807,3700.9,20977.4,3
2000,10,809,96,552,3
2000,10,813,7095.9,45343.575,3
2000,10,821,25514.31,148624.905,3
2000,10,822,2162.2,12954.05,3
2000,10,827,452.8,2716.8,3
2000,10,829,11294,64733.595,3
2000,10,834,200,1200,3
2000,10,840,1337,8039,3
2000,10,842,15507.6,92610.4,3
2000,10,849,4513,27408,3
