Block,Month,Year,Season,TotalLegalsRetained,MeanCPUE,TotalShorts,MeanDepth,MaxDepth,MeanNightsInWater,TotalTrapsPulled
688,12,1993,1993-94,102,0.229880953,NA,51.875,80,NA,420
689,12,1993,1993-94,631,0.738562925,NA,88.57142857,120,NA,830
707,12,1993,1993-94,1425,0.539716668,583,54.64285714,120,3.142857143,2611
708,12,1993,1993-94,1904,0.668452516,NA,79.85294118,150,NA,4226
709,12,1993,1993-94,788,0.740810618,NA,55.57142857,80,NA,1438
710,12,1993,1993-94,1176,0.856487694,NA,24.17948718,65,NA,1406
712,12,1993,1993-94,280,0.762698413,32,58.57142857,65,4.285714286,354
718,12,1993,1993-94,348,0.145601084,347,46.109375,160,NA,2165
719,12,1993,1993-94,1183,0.262517754,NA,62.16129032,160,NA,5131
720,12,1993,1993-94,998,0.227870635,1028,85.40740741,130,NA,4730
737,12,1993,1993-94,872,0.172387168,NA,52.79411765,105,NA,4856
738,12,1993,1993-94,321,0.156268875,NA,76.8,100,4,1999
739,12,1993,1993-94,201,0.326988667,NA,55.29411765,95,3.588235294,657
740,12,1993,1993-94,328,0.91280143,NA,96.62962963,128,3.444444444,488
756,12,1993,1993-94,687,0.14781769,NA,32.86842105,55,3.618421053,4217
757,12,1993,1993-94,1534,0.173928685,NA,40.2716763,85,NA,8117
762,12,1993,1993-94,668,0.531554313,1026,46.92307692,90,NA,1310
765,12,1993,1993-94,918,0.322904486,NA,111.875,140,4.9375,2652
801,12,1993,1993-94,662,0.364072974,1548,52.13953488,120,4.395348837,2645
814,12,1993,1993-94,2818,0.586916419,NA,51.72413793,90,NA,5170
821,12,1993,1993-94,1104,0.302816056,3332,48.36363636,85,4.233766234,5246
842,12,1993,1993-94,780,0.296884263,21964,50.71428571,85,5.571428571,2605
850,12,1993,1993-94,1424,0.457777778,1299,103.8095238,150,3.714285714,3075
860,12,1993,1993-94,4611,0.299869042,NA,55.96875,120,NA,16056
877,12,1993,1993-94,985,0.494901122,7820,54,65,3.2,2120
878,12,1993,1993-94,71,0.122161836,523,42.5,50,4.083333333,489
652,1,1994,1993-94,101,0.284395774,47,90,100,3.833333333,676
653,1,1994,1993-94,543,0.388127338,608,68.54166667,110,3.8125,2025
654,1,1994,1993-94,524,0.512980325,NA,36.31578947,100,NA,790
655,1,1994,1993-94,236,0.564285714,NA,87.5,100,5,420
657,1,1994,1993-94,987,0.530606061,810,86,120,4.64,2100
680,1,1994,1993-94,396,0.371555555,NA,80.66666667,100,4.866666667,1022
681,1,1994,1993-94,234,0.389471104,NA,106.4285714,140,NA,594
685,1,1994,1993-94,326,0.557582304,NA,83.26666667,128,5.066666667,960
689,1,1994,1993-94,594,0.704487179,NA,53.61111111,130,5.944444444,1020
690,1,1994,1993-94,728,0.544288327,NA,83.63636364,110,5.454545455,1410
708,1,1994,1993-94,1369,0.458264028,NA,94.91071429,120,NA,3620
709,1,1994,1993-94,177,0.420952699,280,73.63636364,120,NA,481
710,1,1994,1993-94,254,0.46300543,NA,50.52631579,100,7.473684211,517
712,1,1994,1993-94,1006,0.570463058,NA,62.29411765,90,NA,1880
718,1,1994,1993-94,351,0.134028674,NA,47.1969697,90,NA,2978
719,1,1994,1993-94,904,0.203233716,NA,63.29090909,160,3.454545455,6188
720,1,1994,1993-94,1253,0.192562973,1181,94.29787234,160,NA,7558
737,1,1994,1993-94,252,0.102126318,NA,47.63636364,90,NA,2542
738,1,1994,1993-94,146,0.130708321,236,81.66666667,90,3.952380952,1078
739,1,1994,1993-94,142,0.713952179,78,90.83333333,95,3.5,239
740,1,1994,1993-94,411,0.758277749,NA,102.8,180,3.233333333,567
756,1,1994,1993-94,285,0.15127687,NA,36.27659574,55,3.468085106,2011
757,1,1994,1993-94,337,0.119342281,NA,38.31818182,85,NA,2856
762,1,1994,1993-94,418,0.448493128,750,51.11111111,60,4.222222222,896
765,1,1994,1993-94,340,0.136841708,NA,118.8888889,150,3.851851852,2580
801,1,1994,1993-94,452,0.31316447,590,79.16666667,210,4.833333333,1364
813,1,1994,1993-94,974,0.503258276,NA,51.66666667,95,NA,1935
814,1,1994,1993-94,2542,0.69655959,NA,65,95,NA,3615
821,1,1994,1993-94,702,0.289532835,1735,46.47619048,75,4.476190476,2706
829,1,1994,1993-94,120,0.168715764,NA,102.2631579,165,NA,812
860,1,1994,1993-94,2130,0.307541014,NA,53.52142857,120,NA,8246
877,1,1994,1993-94,433,0.570642566,2627,56.66666667,85,3.333333333,771
651,2,1994,1993-94,523,0.339178877,241,116.1538462,150,4.307692308,1584
653,2,1994,1993-94,339,0.392680198,383,62.35294118,110,3.970588235,887
654,2,1994,1993-94,391,0.472116402,NA,40,100,4.2,645
656,2,1994,1993-94,142,0.947435897,53,95,135,5.75,135
657,2,1994,1993-94,1197,0.775846931,728,105.9090909,130,NA,1825
685,2,1994,1993-94,363,1.108712121,233,95.83333333,120,8.75,492
686,2,1994,1993-94,89,0.640740741,68,86.66666667,120,7.111111111,130
689,2,1994,1993-94,310,0.470980392,141,31.17647059,130,8.705882353,690
690,2,1994,1993-94,567,0.708752424,NA,90.95238095,120,7.523809524,846
708,2,1994,1993-94,899,0.479966752,NA,82.45945946,120,NA,2299
709,2,1994,1993-94,199,0.865201465,214,79.23076923,120,NA,316
710,2,1994,1993-94,210,0.405151515,212,66.36363636,100,6.318181818,575
718,2,1994,1993-94,697,0.39574781,NA,54.53846154,160,NA,2779
719,2,1994,1993-94,1389,0.371216297,NA,61.81443299,160,NA,6116
720,2,1994,1993-94,1253,0.240220604,1433,101.7142857,190,NA,5151
737,2,1994,1993-94,91,0.256329365,NA,84.9375,90,4,475
738,2,1994,1993-94,245,0.186920617,537,81.66666667,90,3.933333333,1306
739,2,1994,1993-94,141,0.870087783,NA,97.5,110,3.333333333,158
740,2,1994,1993-94,337,0.62139699,NA,99.88235294,128,3.617647059,677
756,2,1994,1993-94,268,0.234036866,1655,27.57142857,50,3.657142857,1033
757,2,1994,1993-94,413,0.219142383,3737,30.77966102,60,3.423728814,1722
762,2,1994,1993-94,138,0.343204747,266,53.75,70,3,294
765,2,1994,1993-94,1045,0.435868836,NA,114.2105263,150,4.315789474,2416
814,2,1994,1993-94,2180,0.688508383,NA,56.15384615,90,NA,3150
821,2,1994,1993-94,455,0.328811869,1472,44.78947368,75,5.5,1616
850,2,1994,1993-94,236,0.398333334,150,82.5,120,NA,500
860,2,1994,1993-94,1610,0.322740908,4714,56.21568627,120,3.715686275,4317
653,3,1994,1993-94,161,0.743342516,81,81.81818182,110,5.727272727,250
654,3,1994,1993-94,451,1.134444444,167,62,100,5,342
657,3,1994,1993-94,1239,1.09849537,715,108.625,180,NA,1714
686,3,1994,1993-94,19,0.261904762,30,92,100,5.8,73
690,3,1994,1993-94,250,0.442708333,55,81.25,100,4.5,600
708,3,1994,1993-94,285,0.334364192,530,62.78947368,80,NA,1133
709,3,1994,1993-94,27,0.238690476,70,77.5,100,NA,133
710,3,1994,1993-94,61,0.5525,81,81,108,NA,125
711,3,1994,1993-94,53,0.94,29,102,105,NA,54
718,3,1994,1993-94,132,0.268013663,NA,47.89473684,60,NA,768
719,3,1994,1993-94,349,0.270016272,NA,63.22222222,170,3.444444444,2135
720,3,1994,1993-94,270,0.501818182,238,110.4545455,130,3.363636364,525
739,3,1994,1993-94,165,1.355154105,NA,126.6666667,170,3,144
740,3,1994,1993-94,61,0.88034188,13,83.33333333,95,3.666666667,72
756,3,1994,1993-94,62,0.188574646,231,14.58333333,25,NA,306
757,3,1994,1993-94,150,0.323678161,632,36.48275862,70,3.206896552,547
765,3,1994,1993-94,324,0.323650794,NA,100.5,120,5.4,895
821,3,1994,1993-94,302,0.519872524,932,33,60,5.666666667,674
860,3,1994,1993-94,816,0.349391534,3570,43.47619048,80,NA,2416
652,10,1994,1994-95,430,0.674931203,104,16.85714286,25,3.285714286,570
653,10,1994,1994-95,789,0.671229756,573,17.52542373,45,3.644067797,1035
654,10,1994,1994-95,1131,0.850447738,1147,20.51282051,45,3.384615385,1851
655,10,1994,1994-95,52,0.753787879,59,23.83333333,38,3.166666667,83
684,10,1994,1994-95,1971,0.821956897,787,36.47058824,60,3.411764706,2745
685,10,1994,1994-95,441,0.686169591,153,42.63157895,60,3.631578947,633
687,10,1994,1994-95,266,0.574181818,115,32.5,60,3.8,412
708,10,1994,1994-95,1628,0.676328703,1504,29.75,80,3.785714286,2559
711,10,1994,1994-95,377,0.718514739,45,26.42857143,30,4,585
719,10,1994,1994-95,536,0.327133541,384,52.80645161,120,3.741935484,1723
720,10,1994,1994-95,605,0.267837563,820,39.22222222,80,3.407407407,2261
737,10,1994,1994-95,738,0.462508078,1516,40.4,85,3.16,1588
738,10,1994,1994-95,270,0.409016703,453,42.33333333,60,3.333333333,619
739,10,1994,1994-95,69,0.643452381,53,66.66666667,105,3.333333333,136
756,10,1994,1994-95,1273,0.513883398,4792,32.1,60,3.633333333,2744
757,10,1994,1994-95,1539,0.394539578,6811,36.35714286,90,3.410714286,4285
765,10,1994,1994-95,1035,0.550514298,284,57.33333333,90,4.066666667,1904
801,10,1994,1994-95,1600,0.754329549,3244,52.52173913,110,3.391304348,2708
807,10,1994,1994-95,586,0.77871164,1696,57.71428571,100,3.476190476,786
821,10,1994,1994-95,1839,0.884347905,5068,36.84782609,72,3.608695652,3024
860,10,1994,1994-95,7661,0.535841284,23159,62.31609195,210,3.252873563,14197
652,11,1994,1994-95,240,0.307031058,119,32.42105263,75,4.315789474,702
653,11,1994,1994-95,499,0.342088152,826,28.5483871,95,4.247311828,1735
654,11,1994,1994-95,768,0.393381414,1262,31.47457627,90,4.406779661,2126
684,11,1994,1994-95,1445,0.665884299,498,41,80,4.05,2767
685,11,1994,1994-95,778,0.736040278,275,58.79310345,90,4.344827586,982
708,11,1994,1994-95,1691,0.583504728,1317,34.92,100,4.4,3196
709,11,1994,1994-95,143,0.588644689,131,42.8,90,4.4,305
710,11,1994,1994-95,345,0.631337087,111,41.73076923,90,5.307692308,568
719,11,1994,1994-95,839,0.209018852,547,49.94285714,120,3.328571429,4696
720,11,1994,1994-95,443,0.143330697,764,48.28888889,120,3.444444444,3167
737,11,1994,1994-95,735,0.342816676,1721,34.82051282,88,3.435897436,2501
738,11,1994,1994-95,149,0.200683924,261,46.5,90,3.583333333,741
739,11,1994,1994-95,407,0.464773674,368,53.4375,105,3.5625,955
756,11,1994,1994-95,1020,0.216823984,4810,29.49450549,90,3.461538462,4618
757,11,1994,1994-95,1244,0.201162631,5378,41.46,110,3.39,6575
765,11,1994,1994-95,311,0.359354356,108,66.25,90,5.375,919
801,11,1994,1994-95,510,0.414423401,1569,47.91304348,120,4.086956522,1982
807,11,1994,1994-95,502,0.364599921,1566,40.74074074,70,3.814814815,1277
821,11,1994,1994-95,976,0.333243712,3200,40.52830189,75,4.283018868,3503
860,11,1994,1994-95,4658,0.34972439,21045,65.33701657,210,3.29281768,13477
652,12,1994,1994-95,373,0.164733115,236,73.17647059,103,3.705882353,1433
653,12,1994,1994-95,314,0.228549413,460,35.01282051,110,4.012820513,1301
654,12,1994,1994-95,349,0.248517407,586,34.09090909,65,3.757575758,1150
665,12,1994,1994-95,128,0.561866969,26,28.28571429,60,3.857142857,201
708,12,1994,1994-95,715,0.604588635,388,58.07142857,95,5.071428571,1365
718,12,1994,1994-95,103,0.136682848,87,51,65,3.2,860
719,12,1994,1994-95,277,0.475328686,72,102.6923077,135,3,604
720,12,1994,1994-95,213,0.101338682,341,52.5,120,3.318181818,1773
737,12,1994,1994-95,506,0.175403118,893,42.09375,90,3.84375,2773
738,12,1994,1994-95,193,0.196961737,376,59.72727273,90,4.272727273,1048
756,12,1994,1994-95,564,0.228388785,2499,35.87804878,90,3.975609756,3000
757,12,1994,1994-95,547,0.217915351,1864,51.23333333,240,3.583333333,2811
801,12,1994,1994-95,318,0.282102966,1379,47.26923077,100,4.038461538,2237
821,12,1994,1994-95,506,0.357877199,1804,41.17857143,60,5.857142857,1592
860,12,1994,1994-95,1681,0.366029782,6993,73.92307692,210,3.584615385,4262
720,1,1995,1994-95,296,0.242803824,615,77.73684211,120,3.157894737,1168
737,1,1995,1994-95,418,0.388207672,915,45.125,63,4.791666667,1030
738,1,1995,1994-95,381,0.403459923,934,47.4375,63,4.5625,940
756,1,1995,1994-95,609,0.291636017,2223,41.04166667,100,4.875,2025
757,1,1995,1994-95,971,0.418061984,3822,45.01785714,70,4.642857143,2896
688,2,1995,1994-95,590,0.851870748,441,60.71428571,100,3.857142857,554
708,2,1995,1994-95,344,0.641266469,242,86.21428571,120,4.142857143,436
720,2,1995,1994-95,124,0.140617578,229,72.57894737,128,3.736842105,682
757,2,1995,1994-95,234,0.184543593,498,42.09677419,65,3.419354839,1242
860,2,1995,1994-95,183,0.348575397,371,85.5,120,3.9,626
651,10,1995,1995-96,188,0.542225208,234,22.81818182,25,3.454545455,448
652,10,1995,1995-96,959,0.481300889,932,30.35714286,220,3.410714286,2179
653,10,1995,1995-96,1362,0.432783016,1906,24.5078125,70,3.375,3231
654,10,1995,1995-96,942,0.423440306,1065,25.89285714,145,3.410714286,2613
655,10,1995,1995-96,130,0.538888889,24,18.33333333,20,3,185
665,10,1995,1995-96,461,0.24249312,180,45.85714286,150,3.380952381,1973
680,10,1995,1995-96,502,0.392153057,344,26.32352941,100,3.5,1251
681,10,1995,1995-96,254,0.342710623,107,24.23076923,35,3.461538462,727
683,10,1995,1995-96,72,0.529090909,36,38.33333333,40,3.833333333,158
684,10,1995,1995-96,1851,0.644608272,655,46.12903226,150,3.258064516,2474
685,10,1995,1995-96,1293,0.518888912,808,45.09259259,110,3.888888889,2696
686,10,1995,1995-96,364,0.582195371,122,47.10526316,80,4.157894737,705
687,10,1995,1995-96,83,0.712878788,26,45,80,4.166666667,117
708,10,1995,1995-96,2229,0.71467473,2158,36.91489362,120,4.063829787,3947
709,10,1995,1995-96,745,0.642057845,474,40.96774194,80,4.032258065,1208
710,10,1995,1995-96,310,0.841160714,170,30.3125,80,3.9375,375
719,10,1995,1995-96,625,0.221251235,443,39.89795918,65,3.346938776,2916
720,10,1995,1995-96,230,0.191282295,549,56.53846154,120,3.230769231,981
737,10,1995,1995-96,1238,0.375975702,1899,40.46153846,75,3.358974359,2865
738,10,1995,1995-96,556,0.549731393,1315,40,60,3.636363636,901
756,10,1995,1995-96,2045,0.652288741,3565,32.25,40,3.3,3648
757,10,1995,1995-96,2344,0.512500295,7112,36.2037037,50,3.351851852,5468
762,10,1995,1995-96,1756,0.992600698,2721,66,160,3.2,2126
765,10,1995,1995-96,547,0.754670013,302,45.71428571,60,3.714285714,732
801,10,1995,1995-96,1311,1.10666883,2894,39.18181818,70,3.545454545,2047
807,10,1995,1995-96,1170,1.085742608,1751,40,50,3.181818182,1014
821,10,1995,1995-96,2435,0.465580431,8765,41.14084507,60,3.408450704,5932
822,10,1995,1995-96,331,1.038236251,840,25.33333333,40,3.266666667,583
842,10,1995,1995-96,1312,0.461247388,4415,69.55844156,200,3.233766234,2893
850,10,1995,1995-96,806,0.523534975,1672,57,150,3.6,1302
860,10,1995,1995-96,6252,0.499819543,32009,68.87727273,230,3.240909091,12244
652,11,1995,1995-96,919,0.282648075,1280,32.01785714,90,3.785714286,3053
653,11,1995,1995-96,1102,0.302765802,1905,28.1641791,85,3.78358209,3834
654,11,1995,1995-96,1088,0.345458327,1321,31.66666667,75,3.783333333,3754
655,11,1995,1995-96,245,0.628032542,169,23.90909091,50,3.818181818,418
657,11,1995,1995-96,509,0.649761905,307,34.58333333,60,3.416666667,730
665,11,1995,1995-96,769,0.65025067,179,37.30769231,100,3.923076923,1292
680,11,1995,1995-96,615,0.370955953,366,44.46666667,100,3.688888889,1622
681,11,1995,1995-96,418,0.402837302,220,61.04166667,140,3.791666667,970
683,11,1995,1995-96,303,0.760651495,65,43.75,90,3.5,443
684,11,1995,1995-96,1648,0.677965695,512,53.07407407,150,3.962962963,2500
685,11,1995,1995-96,1098,0.582077266,590,59.24489796,150,4.244897959,2261
686,11,1995,1995-96,714,0.955018621,200,51.66666667,80,4.5,754
687,11,1995,1995-96,352,0.601444445,134,48.86666667,100,4.133333333,586
688,11,1995,1995-96,482,0.517707361,100,36.16666667,60,4.166666667,805
707,11,1995,1995-96,968,0.751699045,103,36.66666667,150,4.083333333,1273
708,11,1995,1995-96,1954,0.480372545,2491,39.375,120,4.285714286,4616
709,11,1995,1995-96,1039,0.567028328,892,37.95238095,80,4.285714286,2324
710,11,1995,1995-96,577,1.01969697,286,33.40909091,70,4.636363636,615
718,11,1995,1995-96,384,0.34165739,212,32.5,50,3.428571429,814
719,11,1995,1995-96,629,0.30527846,473,41.21621622,95,3.513513514,2684
720,11,1995,1995-96,609,0.249052953,955,46.12,160,3.12,1771
737,11,1995,1995-96,1039,0.368053737,917,40.1,60,3.54,3012
738,11,1995,1995-96,310,0.294749801,1998,29.66666667,50,3.583333333,1186
739,11,1995,1995-96,353,0.30550874,332,62.69230769,90,3.461538462,1240
756,11,1995,1995-96,1612,0.367702799,4817,32.74074074,60,3.648148148,5089
757,11,1995,1995-96,2499,0.370618637,10276,36.66666667,90,3.617283951,8368
761,11,1995,1995-96,691,0.660949944,1302,45.83333333,75,3.5,1128
762,11,1995,1995-96,1847,0.781455289,3555,62.5,100,3.785714286,2683
765,11,1995,1995-96,330,0.400056414,108,37,60,4.2,809
801,11,1995,1995-96,408,0.497771452,981,41.32,70,4.08,1192
807,11,1995,1995-96,1231,0.673110988,3039,56.22727273,120,3.772727273,1981
821,11,1995,1995-96,1117,0.319907687,4204,35.83333333,60,3.685185185,4623
822,11,1995,1995-96,203,0.382580314,675,26.66666667,60,3.523809524,921
842,11,1995,1995-96,1550,0.280059735,7928,76.72131148,225,3.344262295,4488
850,11,1995,1995-96,1095,0.551723183,2664,95.58823529,240,3.647058824,1878
860,11,1995,1995-96,8420,0.387607579,47111,64.31420765,225,3.295081967,23468
652,12,1995,1995-96,312,0.175034062,493,56.83333333,120,4.1,2101
653,12,1995,1995-96,234,0.170229488,538,40.18072289,95,4.277108434,1258
654,12,1995,1995-96,543,0.271620505,1115,43.08510638,75,3.936170213,1940
656,12,1995,1995-96,397,0.686137566,454,47.77777778,60,5.111111111,585
657,12,1995,1995-96,582,0.759897339,538,61.15384615,100,5.153846154,858
681,12,1995,1995-96,289,0.557771673,60,78.46153846,180,5,570
684,12,1995,1995-96,721,0.568618147,324,89.77272727,200,4.409090909,1681
685,12,1995,1995-96,819,0.817375098,602,69.84375,200,4.90625,1401
686,12,1995,1995-96,442,1.235204082,158,77.71428571,100,6.071428571,458
687,12,1995,1995-96,520,0.725563492,124,66.66666667,100,6.6,625
688,12,1995,1995-96,485,0.496910328,40,59.76923077,90,5.615384615,880
708,12,1995,1995-96,1205,0.424342097,902,67.05882353,120,5,2667
709,12,1995,1995-96,599,0.728642381,519,46.4,150,6.44,1100
710,12,1995,1995-96,634,0.949630326,293,47.36842105,90,6.789473684,802
718,12,1995,1995-96,165,0.303576225,81,42.66666667,80,3.533333333,527
719,12,1995,1995-96,571,0.327413058,523,49.52,90,3.36,2152
720,12,1995,1995-96,403,0.192567711,730,54.22580645,210,3.677419355,2311
737,12,1995,1995-96,1180,0.517430866,1963,41.03773585,70,3.641509434,2884
738,12,1995,1995-96,393,0.302936508,3293,32.14285714,90,3.523809524,1540
739,12,1995,1995-96,603,0.407568403,747,67.5,100,3.708333333,1586
740,12,1995,1995-96,119,0.485119048,60,103.125,120,3.5,208
756,12,1995,1995-96,1552,0.37827117,3625,31.34920635,40,3.714285714,4123
757,12,1995,1995-96,2147,0.457486384,8608,43.15463918,120,3.742268041,7364
762,12,1995,1995-96,753,0.345522485,3172,80.45454545,100,4.727272727,2617
801,12,1995,1995-96,310,0.256436114,959,48.13636364,96,4.318181818,1458
821,12,1995,1995-96,1060,0.326987154,4464,45.41666667,150,4.229166667,3943
842,12,1995,1995-96,546,0.1935885,2424,72.55555556,170,3.611111111,2199
850,12,1995,1995-96,747,0.562239651,2719,106.6666667,200,3.666666667,1431
860,12,1995,1995-96,4546,0.364430039,21237,70.51851852,220,3.582010582,12434
652,1,1996,1995-96,334,0.266726784,345,107.3684211,120,4.789473684,1950
653,1,1996,1995-96,82,0.318902987,256,54.4,90,4.04,455
654,1,1996,1995-96,454,0.234123873,706,56.125,100,4.575,1674
657,1,1996,1995-96,548,0.787149758,325,68.33333333,110,6.111111111,689
681,1,1996,1995-96,203,0.254155844,144,64.68181818,140,4.181818182,755
684,1,1996,1995-96,533,0.45926294,208,118.2352941,180,3.470588235,1218
685,1,1996,1995-96,343,0.624251274,391,75.43478261,100,7.086956522,794
686,1,1996,1995-96,172,0.612053944,30,68.57142857,90,5.857142857,375
687,1,1996,1995-96,260,0.7425,100,66.75,100,5.75,404
688,1,1996,1995-96,718,0.607738324,59,60.625,80,6.4375,1185
708,1,1996,1995-96,576,0.378984525,539,69.65517241,120,5.482758621,1771
709,1,1996,1995-96,354,0.565008791,330,74.34782609,150,6.608695652,756
710,1,1996,1995-96,388,0.70037037,266,51,90,5.944444444,571
711,1,1996,1995-96,426,0.535529327,94,63.88888889,85,7.222222222,690
